,battFast_adap,battFast_aggr,battSlow_throt
297,0.916187872159,0.916187872159,0.99423460039
298,0.922782271347,0.922782271347,1.0
299,0.92941264044,0.92941264044,1.0
300,0.926352041733,0.926352041733,0.996944768378
301,0.936352041733,0.936352041733,1.0
302,0.946352041733,0.946352041733,1.0
303,0.956352041733,0.956352041733,1.0
304,0.966352041733,0.966352041733,1.0
305,0.965935960854,0.965935960854,0.999584648946
306,0.975831646198,0.975831646198,1.0
307,0.973342495314,0.973342495314,0.997515216085
308,0.983342495314,0.983342495314,1.0
309,0.993342495314,0.993342495314,1.0
310,0.993198145399,0.993198145399,0.999855903395
311,1.0,1.0,1.0
312,1.0,1.0,1.0
313,1.0,1.0,1.0
314,1.0,1.0,1.0
315,1.0,1.0,1.0
316,1.0,1.0,1.0
317,1.0,1.0,1.0
318,1.0,1.0,1.0
319,1.0,1.0,1.0
320,1.0,1.0,1.0
321,1.0,1.0,1.0
322,1.0,1.0,1.0
323,1.0,1.0,1.0
324,1.0,1.0,1.0
325,1.0,1.0,1.0
326,0.992395437015,0.992395437015,0.999006504771
327,0.984269721288,0.984269721288,0.997631556615
328,0.976190202687,0.976190202687,0.996291574996
329,0.968116384087,0.968116384087,0.994956503736
330,0.960126698823,0.960126698823,0.993684329475
331,0.952126190462,0.952126190462,0.992404848217
332,0.946632516356,0.946632516356,0.986921679348
333,0.953267714606,0.953267714606,0.993556877598
334,0.960122975606,0.960122975606,1.0
335,0.955808065742,0.955808065742,0.995693343508
336,0.951439062304,0.951439062304,0.991332699094
337,0.958081622647,0.958081622647,0.997975259438
338,0.964655416335,0.964655416335,1.0
339,0.971231253116,0.971231253116,1.0
340,0.977825172772,0.977825172772,1.0
341,0.984436506772,0.984436506772,1.0
342,0.990822650272,0.990822650272,1.0
343,0.997360603147,0.997360603147,1.0
344,1.0,1.0,1.0
345,0.997170169556,0.997170169556,0.997175585165
346,1.0,1.0,1.0
347,1.0,1.0,1.0
348,0.988722827472,0.988722827472,0.996183126069
349,0.981993560572,0.981993560572,0.995805304796
350,0.975457231529,0.975457231529,0.995553005295
351,0.968865899117,0.968865899117,0.995266157605
352,0.975504771711,0.975504771711,1.0
353,0.981849138336,0.981849138336,1.0
354,0.975305937866,0.975305937866,0.999744432318
355,0.982196251241,0.982196251241,1.0
356,0.988042401397,0.988042401397,1.0
357,0.981405264554,0.981405264554,0.999684715871
358,0.988017766632,0.988017766632,1.0
359,0.994648874944,0.994648874944,1.0
360,0.994327991368,0.994327991368,0.999679800119
361,0.993562820991,0.993562820991,0.998916260384
362,0.993154713014,0.993154713014,0.998509022308
363,1.0,1.0,1.0
364,1.0,1.0,1.0
365,0.998341298043,0.998341298043,0.998344834359
366,0.99667231828,0.99667231828,0.996679413662
367,0.994752816855,0.994752816855,0.994764006502
368,0.992999188263,0.992999188263,0.993014119268
369,0.991399387033,0.991399387033,0.991417732015
370,1.0,1.0,1.0
371,0.998271319522,0.998271319522,0.998275009395
372,1.0,1.0,1.0
373,0.995496645819,0.995496645819,0.995506260521
374,1.0,1.0,1.0
375,1.0,1.0,1.0
376,0.99955372927,0.99955372927,0.999554682314
377,1.0,1.0,1.0
378,0.997429182692,0.997429182692,0.997434673983
379,1.0,1.0,1.0
380,1.0,1.0,1.0
381,0.994065572174,0.994065572174,0.994078251311
382,1.0,1.0,1.0
383,1.0,1.0,1.0
384,1.0,1.0,1.0
385,1.0,1.0,1.0
386,1.0,1.0,1.0
387,1.0,1.0,1.0
388,1.0,1.0,1.0
389,1.0,1.0,1.0
390,1.0,1.0,1.0
391,1.0,1.0,1.0
392,1.0,1.0,1.0
393,1.0,1.0,1.0
394,1.0,1.0,1.0
395,1.0,1.0,1.0
396,1.0,1.0,1.0
397,0.992516944146,0.992516944146,0.999110840279
398,0.984469758169,0.984469758169,0.997811859871
399,0.976405404982,0.976405404982,0.996500881684
400,0.968280273532,0.968280273532,0.995145597328
401,0.960106414894,0.960106414894,0.993754845513
402,0.952058716305,0.952058716305,0.992458247951
403,0.946509066945,0.946509066945,0.986921344628
404,0.953098680382,0.953098680382,0.993510958066
405,0.959732254507,0.959732254507,1.0
406,0.955256493488,0.955256493488,0.995534521371
407,0.95075091849,0.95075091849,0.991039299994
408,0.957383068834,0.957383068834,0.997671450337
409,0.963935197834,0.963935197834,1.0
410,0.970568656365,0.970568656365,1.0
411,0.977247379834,0.977247379834,1.0
412,0.98387109324,0.98387109324,1.0
413,0.990286936272,0.990286936272,1.0
414,0.996913820772,0.996913820772,1.0
415,1.0,1.0,1.0
416,0.997349842174,0.997349842174,0.997355933735
417,1.0,1.0,1.0
418,1.0,1.0,1.0
419,0.988701447832,0.988701447832,0.99618689764
420,0.987769920292,0.987769920292,0.995257528193
421,0.986918501069,0.986918501069,0.994408081913
422,0.986049107641,0.986049107641,0.993540703523
423,0.996049107641,0.996049107641,1.0
424,1.0,1.0,1.0
425,0.999148976348,0.999148976348,0.999150949245
426,1.0,1.0,1.0
427,1.0,1.0,1.0
428,0.99914177664,0.99914177664,0.999143766666
429,1.0,1.0,1.0
430,1.0,1.0,1.0
431,0.999498211234,0.999498211234,0.999499375026
432,0.998602804402,0.998602804402,0.998606045331
433,0.998058142339,0.998058142339,0.998062647039
434,1.0,1.0,1.0
435,1.0,1.0,1.0
436,0.998228238369,0.998228238369,0.998232350223
437,0.996521467844,0.996521467844,0.99652954167
438,0.994661001408,0.994661001408,0.994673395013
439,0.992913140274,0.992913140274,0.992929593178
440,0.985471219147,0.985471219147,0.992082737948
441,0.992101581678,0.992101581678,0.998713100479
442,0.984232216696,0.984232216696,0.997558351245
443,0.989034372383,0.989034372383,1.0
444,0.978460651265,0.978460651265,0.996772890622
445,0.968437312001,0.968437312001,0.9939798014
446,0.975019301876,0.975019301876,1.0
447,0.981603380876,0.981603380876,1.0
448,0.972081237138,0.972081237138,0.997598186867
449,0.97754843142,0.97754843142,1.0
450,0.983621758357,0.983621758357,1.0
451,0.990233524638,0.990233524638,1.0
452,0.996870501513,0.996870501513,1.0
453,0.990690246345,0.990690246345,0.999976387496
454,0.99603465522,0.99603465522,1.0
455,0.987271615411,0.987271615411,0.99818213109
456,0.993876698583,0.993876698583,1.0
457,1.0,1.0,1.0
458,0.994506772179,0.994506772179,0.994520653122
459,1.0,1.0,1.0
460,1.0,1.0,1.0
461,1.0,1.0,1.0
462,1.0,1.0,1.0
463,1.0,1.0,1.0
464,1.0,1.0,1.0
465,1.0,1.0,1.0
466,1.0,1.0,1.0
467,1.0,1.0,1.0
468,1.0,1.0,1.0
469,1.0,1.0,1.0
470,1.0,1.0,1.0
471,1.0,1.0,1.0
472,1.0,1.0,1.0
473,1.0,1.0,1.0
474,0.992214423873,0.992214423873,0.998911120067
475,0.983965666465,0.983965666465,0.997481964667
476,0.975749048962,0.975749048962,0.996077417382
477,0.982316428696,0.982316428696,1.0
478,0.989206742071,0.989206742071,1.0
479,0.98321025915,0.98321025915,0.994019150994
480,0.98240530056,0.98240530056,0.993216291654
481,0.981897967034,0.981897967034,0.992710281492
482,0.991897967034,0.991897967034,1.0
483,1.0,1.0,1.0
484,0.998906314226,0.998906314226,0.998909167672
485,1.0,1.0,1.0
486,1.0,1.0,1.0
487,1.0,1.0,1.0
488,1.0,1.0,1.0
489,1.0,1.0,1.0
490,1.0,1.0,1.0
491,1.0,1.0,1.0
492,1.0,1.0,1.0
493,1.0,1.0,1.0
494,0.999977878198,0.999977878198,0.999977935927
495,0.999658715776,0.999658715776,0.99965960652
496,0.999959141776,0.999959141776,0.99996003252
497,0.999545546754,0.999545546754,0.999547517198
498,0.999121050519,0.999121050519,0.999124129347
499,0.998213081626,0.998213081626,0.998218531703
500,1.0,1.0,1.0
501,1.0,1.0,1.0
502,1.0,1.0,1.0
503,0.991736421463,0.991736421463,0.998565768408
504,0.983321196379,0.983321196379,0.997019032686
505,0.97505716536,0.97505716536,0.995585887715
506,0.967012998391,0.967012998391,0.994316262461
507,0.961394199835,0.961394199835,0.988712722037
508,0.967922314585,0.967922314585,0.995240836787
509,0.974486206397,0.974486206397,1.0
510,0.969923918509,0.969923918509,0.995450104626
511,0.96542369956,0.96542369956,0.990962112861
512,0.97204170331,0.97204170331,0.997580116611
513,0.978623394591,0.978623394591,1.0
514,0.985192081529,0.985192081529,1.0
515,0.99183430906,0.99183430906,1.0
516,0.998429368247,0.998429368247,1.0
517,1.0,1.0,1.0
518,1.0,1.0,1.0
519,1.0,1.0,1.0
520,0.997452958488,0.997452958488,0.997459880698
521,1.0,1.0,1.0
522,1.0,1.0,1.0
523,0.988688693398,0.988688693398,0.996205125597
524,0.981874290728,0.981874290728,0.9958075355
525,0.975170610662,0.975170610662,0.995483139536
526,0.968459126945,0.968459126945,0.99515425274
527,0.975110713351,0.975110713351,1.0
528,0.981492028257,0.981492028257,1.0
529,0.974808180939,0.974808180939,0.999689597198
530,0.981394653376,0.981394653376,1.0
531,0.987191955282,0.987191955282,1.0
532,0.980561637017,0.980561637017,0.999724549697
533,0.987192305501,0.987192305501,1.0
534,0.99387102897,0.99387102897,1.0
535,0.987778277958,0.987778277958,0.993925133259
536,0.981161606929,0.981161606929,0.993659491299
537,0.975449441147,0.975449441147,0.987964335968
538,0.982410501365,0.982410501365,0.994925396186
539,0.989907576834,0.989907576834,1.0
540,0.988821665041,0.988821665041,0.998917322869
541,0.998821665041,0.998821665041,1.0
542,1.0,1.0,1.0
543,1.0,1.0,1.0
544,1.0,1.0,1.0
545,1.0,1.0,1.0
546,1.0,1.0,1.0
547,1.0,1.0,1.0
548,1.0,1.0,1.0
549,1.0,1.0,1.0
550,0.999975828811,0.999975828811,0.999975900827
551,0.999657883391,0.999657883391,0.999658902848
552,0.999936116516,0.999936116516,0.999937135973
553,0.999577498348,0.999577498348,0.999579586661
554,0.999114900989,0.999114900989,0.999118368346
555,0.997858012013,0.997858012013,0.997865227049
556,1.0,1.0,1.0
557,1.0,1.0,1.0
558,1.0,1.0,1.0
559,1.0,1.0,1.0
560,0.995377190195,0.995377190195,0.995390977282
561,1.0,1.0,1.0
562,1.0,1.0,1.0
563,0.994647224396,0.994647224396,0.994663192825
564,0.988269416948,0.988269416948,0.994548372363
565,0.982405464168,0.982405464168,0.988702209394
566,0.989235391387,0.989235391387,0.995532136612
567,0.995210096325,0.995210096325,1.0
568,0.987759315822,0.987759315822,0.999174419217
569,0.980359854569,0.980359854569,0.998385810005
570,0.972870556347,0.972870556347,0.997534202537
571,0.965446101941,0.965446101941,0.996729243473
572,0.958334910279,0.958334910279,0.99614346373
573,0.965206228029,0.965206228029,1.0
574,0.957857538635,0.957857538635,0.999249772465
575,0.96297309701,0.96297309701,1.0
576,0.95278838785,0.95278838785,0.997115733263
577,0.943114758077,0.943114758077,0.994630899007
578,0.949944928202,0.949944928202,1.0
579,0.956794505702,0.956794505702,1.0
580,0.948008181548,0.948008181548,0.998196594653
581,0.953789321423,0.953789321423,1.0
582,0.96015520583,0.96015520583,1.0
583,0.966980711986,0.966980711986,1.0
584,0.973813063673,0.973813063673,1.0
585,0.967886376268,0.967886376268,0.994092821918
586,0.973359790205,0.973359790205,0.999566235856
587,0.964871129663,0.964871129663,0.997988508138
588,0.971709348179,0.971709348179,1.0
589,0.978511463804,0.978511463804,1.0
590,0.972917606345,0.972917606345,0.994424702957
591,0.979699144126,0.979699144126,1.0
592,0.984970446657,0.984970446657,1.0
593,0.991765304814,0.991765304814,1.0
594,0.998554428189,0.998554428189,1.0
595,1.0,1.0,1.0
596,1.0,1.0,1.0
597,1.0,1.0,1.0
598,1.0,1.0,1.0
599,1.0,1.0,1.0
600,1.0,1.0,1.0
601,1.0,1.0,1.0
602,1.0,1.0,1.0
603,1.0,1.0,1.0
604,1.0,1.0,1.0
605,1.0,1.0,1.0
606,0.99833503628,0.99833503628,0.998340562151
607,0.996289289197,0.996289289197,0.996301606361
608,0.994300679819,0.994300679819,0.994319600222
609,0.992279128929,0.992279128929,0.992304763603
610,0.990319656228,0.990319656228,0.990351800592
611,0.988457338214,0.988457338214,0.988495671022
612,0.988527807089,0.988527807089,0.988566139897
613,0.998527807089,0.998527807089,0.998566139897
614,1.0,1.0,1.0
615,1.0,1.0,1.0
616,1.0,1.0,1.0
617,1.0,1.0,1.0
618,1.0,1.0,1.0
619,1.0,1.0,1.0
620,1.0,1.0,1.0
621,1.0,1.0,1.0
622,1.0,1.0,1.0
623,1.0,1.0,1.0
624,1.0,1.0,1.0
625,0.997468089796,0.997468089796,0.997476505334
626,1.0,1.0,1.0
627,1.0,1.0,1.0
628,0.988713113665,0.988713113665,0.99625318002
629,0.982117485408,0.982117485408,0.996017312702
630,0.975641962497,0.975641962497,0.995856059659
631,0.969159249364,0.969159249364,0.995690994347
632,0.975937984302,0.975937984302,1.0
633,0.982476089146,0.982476089146,1.0
634,0.975905646267,0.975905646267,0.999781562493
635,0.982689099455,0.982689099455,1.0
636,0.989241860142,0.989241860142,1.0
637,0.982798472622,0.982798472622,0.999859617561
638,0.989639958466,0.989639958466,1.0
639,0.995602622997,0.995602622997,1.0
640,0.989214940799,0.989214940799,0.999892862781
641,0.996009778283,0.996009778283,1.0
642,1.0,1.0,1.0
643,0.995280313941,0.995280313941,0.995297415863
644,0.98898268552,0.98898268552,0.995241801246
645,0.983025223555,0.983025223555,0.989306270107
646,0.989821766586,0.989821766586,0.996102813139
647,0.996430733961,0.996430733961,1.0
648,0.988801850884,0.988801850884,0.999065979194
649,0.981149002886,0.981149002886,0.99811546005
650,0.973428704028,0.973428704028,0.997117132862
651,0.965814704006,0.965814704006,0.996195803339
652,0.958507122093,0.958507122093,0.995491796067
653,0.965204922749,0.965204922749,1.0
654,0.957412815927,0.957412815927,0.998951898423
655,0.962353162677,0.962353162677,1.0
656,0.951861138466,0.951861138466,0.996896746126
657,0.958578541029,0.958578541029,1.0
